Geneid	SRR1554536(Adult 1)	SRR2071347(Adult 1)	SRR1554539(Adult 2)	SRR2071350(Adult 2)	SRR15545534(Adult 3)	SRR2071345(Adult 3)	SRR1554537(Fetus 1)	SRR2071348(Fetus 1)	SRR1554566(Fetus 2)	SRR2071377(Fetus 2)	SRR1554567(Fetus 3)	SRR2071378(Fetus 3)
NR_029836	0	0	0	0	0	0	0	0	0	0	0	0
NM_002195	0	0	2	2	0	0	0	0	0	0	0	0
NM_007179	0	0	0	0	0	0	0	0	0	0	0	0
NM_006911	0	0	6	6	2	2	7	10	7	8	5	5
NM_005059	0	0	0	0	0	0	1	2	0	0	0	0
NM_001329191	0	0	0	0	0	0	0	0	0	0	0	0
NM_134441	0	0	0	0	0	0	0	0	0	0	0	0
NR_052005	0	0	0	0	0	0	0	0	0	0	0	0
NM_014143	0	0	0	0	0	0	0	0	0	0	0	0
NM_001267706	0	0	0	0	0	0	0	0	0	0	0	0
NM_001314029	1	1	0	0	0	0	0	0	0	0	0	0
NM_025239	2	4	5	5	15	17	48	73	13	14	22	24
NM_024896	734	1057	2839	3022	1489	1607	1380	2527	1510	1595	1522	1612
NM_001243202	0	0	0	0	0	0	0	0	0	0	0	0
NM_001243203	0	0	0	0	0	0	0	0	0	0	0	0
NR_039811	0	0	0	0	0	0	0	0	0	0	0	0
NM_012416	27	33	616	670	307	327	1046	1936	1331	1418	975	1034
NM_001017969	815	1180	4187	4440	1989	2160	8934	16183	7522	7958	11188	11796
NM_001314044	0	0	0	0	0	0	0	0	0	0	0	0
NM_001199641	0	0	0	0	0	0	0	0	0	0	0	0
NM_001199640	0	0	0	0	0	0	0	0	0	0	0	0
NM_033439	0	0	0	0	0	0	0	0	0	0	0	0
NM_001314046	0	0	0	0	0	0	0	0	0	0	0	0
NM_001314045	0	0	0	0	0	0	0	0	1	1	0	0
NM_001353802	0	0	0	0	0	0	2	4	10	11	3	4
NM_001314048	0	0	0	0	0	0	0	0	0	0	0	0
NM_001314047	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001874	0	0	0	0	0	0	2	2	0	0	0	1
NM_001001875	0	0	0	0	0	0	0	0	0	0	0	0
NM_033516	0	0	0	0	0	0	0	0	0	0	2	2
NM_001304341	0	0	0	0	0	0	0	0	0	0	2	2
NM_001318059	0	0	0	0	0	0	0	0	0	0	0	0
NM_033428	0	0	0	0	0	0	0	0	0	0	0	0
NM_001318058	0	0	0	0	0	0	0	0	0	0	0	0
NR_121599	0	0	4	4	4	5	15	23	7	8	2	2
NR_121600	0	0	0	0	0	0	0	0	0	0	0	0
NR_135135	0	0	0	0	0	0	1	1	1	1	4	4
NM_000550	6	10	252	264	137	143	6	28	6	6	69	77
NM_203403	65	83	347	370	312	330	171	299	148	161	174	182
